date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:03:00	36991/36991	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Dec%202023%2023:03:00%20GMT	https://www.um.edu.mt/media/umt4/assets/loader.gif	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/assets/loader.gif	(from https://www.um.edu.mt/media/umt4/css/settings.css)
00:03:01	70335/70335	---M--	200	added ('OK')	image/jpeg	etag:%22112bf-5dc70e8138df9%22	https://www.um.edu.mt/media/um/images/umfacade.jpg	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/um/images/umfacade.jpg	(from https://www.um.edu.mt/media/umt4/css/stylesheet.css)
00:03:01	68592/68592	---M--	200	added ('OK')	image/jpeg	etag:%2210bf0-5dc70e8144979%22	https://www.um.edu.mt/media/um/images/newsbg.jpg	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/um/images/newsbg.jpg	(from https://www.um.edu.mt/media/umt4/css/stylesheet.css)
00:03:01	0/0	---M--	200	added ('OK')	text/css	etag:%2234588c-0-5751cb0a6e5ab%22	https://www.um.edu.mt/_umapp/webcms.css	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/_umapp/webcms.css	(from https://www.um.edu.mt/media/umt4/css/umcustom.css)
00:03:01	254/254	---M--	200	added ('OK')	image/png	etag:%22fe-4c7f696b26ac0%22	https://www.um.edu.mt/i/sides.png	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/i/sides.png	(from https://www.um.edu.mt/sso/style.css)
00:03:02	2512/2512	---M--	200	added ('OK')	image/gif	etag:%229d0-569c88045ff80%22	https://www.um.edu.mt/i/logo.gif	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/i/logo.gif	(from https://www.um.edu.mt/sso/style.css)
00:03:02	5/5	---M--	200	added ('OK')	text/css	etag:%2264b14479-5%22	https://p.typekit.net/p.css?s=1&k=dki6lnm&ht=tk&f=15701.15703.15705.15707.15708.15709&a=10996133&app=typekit&e=css	C:/Users/Owner/Downloads/yesy/JC/p.typekit.net/p5550.css	(from https://use.typekit.net/dki6lnm.css)
00:03:02	252724/252724	---M--	200	added ('OK')	application/font-woff2	etag:%22d62548ca39fe9b02351a1ca312096b30d863179d%22	https://use.typekit.net/af/bdde80/00000000000000000001522d/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i4&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/bdde80/00000000000000000001522d/27/l34b8	(from https://use.typekit.net/dki6lnm.css)
00:03:03	328940/328940	---M--	200	added ('OK')	application/font-woff	etag:%22d62548ca39fe9b02351a1ca312096b30d863179d%22	https://use.typekit.net/af/bdde80/00000000000000000001522d/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i4&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/bdde80/00000000000000000001522d/27/d34b8	(from https://use.typekit.net/dki6lnm.css)
00:03:03	248740/248740	---M--	200	added ('OK')	application/font-woff2	etag:%223b06660793de730de04474a5a34e6fc1fff90545%22	https://use.typekit.net/af/6c7e72/000000000000000000015232/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/6c7e72/000000000000000000015232/27/l3fe8	(from https://use.typekit.net/dki6lnm.css)
00:03:03	638032/638032	---M-Z	200	added ('OK')	font/opentype	etag:W/%22d62548ca39fe9b02351a1ca312096b30d863179d%22	https://use.typekit.net/af/bdde80/00000000000000000001522d/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i4&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/bdde80/00000000000000000001522d/27/a34b8	(from https://use.typekit.net/dki6lnm.css)
00:03:04	323568/323568	---M--	200	added ('OK')	application/font-woff	etag:%223b06660793de730de04474a5a34e6fc1fff90545%22	https://use.typekit.net/af/6c7e72/000000000000000000015232/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/6c7e72/000000000000000000015232/27/d3fe8	(from https://use.typekit.net/dki6lnm.css)
00:03:04	612924/612924	---M-Z	200	added ('OK')	font/opentype	etag:W/%223b06660793de730de04474a5a34e6fc1fff90545%22	https://use.typekit.net/af/6c7e72/000000000000000000015232/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/6c7e72/000000000000000000015232/27/a3fe8	(from https://use.typekit.net/dki6lnm.css)
00:03:04	233504/233504	---M--	200	added ('OK')	application/font-woff2	etag:%22a6d7ec334355c982af1029545363c128b8ebf3ec%22	https://use.typekit.net/af/220823/000000000000000000015231/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/220823/000000000000000000015231/27/l04c7	(from https://use.typekit.net/dki6lnm.css)
00:03:04	304320/304320	---M--	200	added ('OK')	application/font-woff	etag:%22a6d7ec334355c982af1029545363c128b8ebf3ec%22	https://use.typekit.net/af/220823/000000000000000000015231/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/220823/000000000000000000015231/27/d04c7	(from https://use.typekit.net/dki6lnm.css)
00:03:04	581112/581112	---M-Z	200	added ('OK')	font/opentype	etag:W/%22a6d7ec334355c982af1029545363c128b8ebf3ec%22	https://use.typekit.net/af/220823/000000000000000000015231/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/220823/000000000000000000015231/27/a04c7	(from https://use.typekit.net/dki6lnm.css)
00:03:04	238928/238928	---M--	200	added ('OK')	application/font-woff2	etag:%227ccd97a036c9a6335665401469764bed5445fcba%22	https://use.typekit.net/af/845de0/00000000000000000001522b/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i3&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/845de0/00000000000000000001522b/27/l00c0	(from https://use.typekit.net/dki6lnm.css)
00:03:05	312284/312284	---M--	200	added ('OK')	application/font-woff	etag:%227ccd97a036c9a6335665401469764bed5445fcba%22	https://use.typekit.net/af/845de0/00000000000000000001522b/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i3&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/845de0/00000000000000000001522b/27/d00c0	(from https://use.typekit.net/dki6lnm.css)
00:03:05	235028/235028	---M--	200	added ('OK')	application/font-woff2	etag:%22b368e5602e52f93ea8bb04f8e30b4af6a24b1c6d%22	https://use.typekit.net/af/180254/00000000000000000001522c/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n4&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/180254/00000000000000000001522c/27/l64f0	(from https://use.typekit.net/dki6lnm.css)
00:03:05	574584/574584	---M-Z	200	added ('OK')	font/opentype	etag:W/%227ccd97a036c9a6335665401469764bed5445fcba%22	https://use.typekit.net/af/845de0/00000000000000000001522b/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i3&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/845de0/00000000000000000001522b/27/a00c0	(from https://use.typekit.net/dki6lnm.css)
00:03:05	305668/305668	---M--	200	added ('OK')	application/font-woff	etag:%22b368e5602e52f93ea8bb04f8e30b4af6a24b1c6d%22	https://use.typekit.net/af/180254/00000000000000000001522c/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n4&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/180254/00000000000000000001522c/27/d64f0	(from https://use.typekit.net/dki6lnm.css)
00:03:06	581864/581864	---M-Z	200	added ('OK')	font/opentype	etag:W/%22b368e5602e52f93ea8bb04f8e30b4af6a24b1c6d%22	https://use.typekit.net/af/180254/00000000000000000001522c/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n4&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/180254/00000000000000000001522c/27/a64f0	(from https://use.typekit.net/dki6lnm.css)
00:03:06	229528/229528	---M--	200	added ('OK')	application/font-woff2	etag:%22e15f0fddf6b5172a4b32a1a0d7a5e6c6736557c0%22	https://use.typekit.net/af/a2df1e/00000000000000000001522a/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n3&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/a2df1e/00000000000000000001522a/27/l0ac7	(from https://use.typekit.net/dki6lnm.css)
00:03:06	301904/301904	---M--	200	added ('OK')	application/font-woff	etag:%22e15f0fddf6b5172a4b32a1a0d7a5e6c6736557c0%22	https://use.typekit.net/af/a2df1e/00000000000000000001522a/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n3&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/a2df1e/00000000000000000001522a/27/d0ac7	(from https://use.typekit.net/dki6lnm.css)
00:03:06	568232/568232	---M-Z	200	added ('OK')	font/opentype	etag:W/%22e15f0fddf6b5172a4b32a1a0d7a5e6c6736557c0%22	https://use.typekit.net/af/a2df1e/00000000000000000001522a/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n3&v=3	C:/Users/Owner/Downloads/yesy/JC/use.typekit.net/af/a2df1e/00000000000000000001522a/27/a0ac7	(from https://use.typekit.net/dki6lnm.css)
00:03:07	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Dec%202023%2023:03:06%20GMT	https://www.um.edu.mt/virtcard/a	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/virtcard/a.41.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
00:03:07	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Dec%202023%2023:03:06%20GMT	https://www.um.edu.mt/virtcard/POST	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/virtcard/POST	(from https://connect.facebook.net/en_US/fbevents.js)
00:03:07	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Dec%202023%2023:03:07%20GMT	https://www.um.edu.mt/virtcard/b.resolvedLink	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/virtcard/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
00:03:08	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Dec%202023%2023:03:07%20GMT	https://www.um.edu.mt/virtcard/schema.org/	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/virtcard/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
00:03:17	37412/37412	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Dec%202023%2023:03:16%20GMT	https://www.um.edu.mt/signals/iwl.js	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
00:03:17	1/1	---M--	200	added ('OK')	text/plain	etag:%22655825ef-1%22	https://use.typekit.net/robots.txt		(from https://use.typekit.net/dki6lnm.css)
